time,text,url,score,result
2026-03-04 14:35:11.835950,,https://github.com/TAMILARASAN-2004/truth-seeker-pro,1,SAFE
2026-03-04 14:36:34.168111,,http://bank-update-account-info.ru,2,SAFE
2026-03-04 14:38:11.955985,,https://forms.gle/awD7BXfpjM8m445T8,1,SAFE
2026-03-04 14:40:38.396141,,http://192.168.0.6:8501,3,SAFE
2026-03-04 16:57:33.061219,,http://192.168.0.6:8501,6,SUSPICIOUS
2026-03-04 17:00:12.705592,"Your account has been suspended due to unusual activity.
Please verify your details immediately to avoid permanent closure.
Click the link below to continue.",,7,SUSPICIOUS
2026-03-04 17:00:57.432419,"Your account has been suspended due to unusual activity.
Please verify your details immediately to avoid permanent closure.
Click the link below to continue.",http://192.168.0.6:8501,13,HIGH RISK
2026-03-04 17:04:17.499737,"What if upgrading your skills also meant getting rewarded?

Through the Government-backed FutureSkills Prime initiative by Nasscom, you can complete up to 5 IBM Global Certifications in emerging technologies and receive ₹1050 cashback per certification. 

 

THE ESSENTIALS 

Exam Fee: ₹2100 per certification 

Your Refund: ₹1050 (credited to your bank account) 

Limit: Up to 5 certifications allowed 

 

UPGRADE YOUR SKILLS IN HIGH-DEMAND DOMAINS LIKE 

·   Artificial Intelligence Fundamentals 

·   Generative AI Essentials 

·   Python for Data Science 

·   Machine Learning using Python 

·   Data Analysis with Python 

·   SQL & Relational Database 

·   Cybersecurity Fundamentals 

·   Cloud Essentials 

·   Internet of Things 

·   Blockchain Foundation

WHO CAN APPLY? 

·   Indian citizens (16+) 

·   Students | Freshers | Working professionals 

·   Valid bank account required 

 

HOW IT WORKS 

Register: Sign up on FutureSkills Prime and apply for the Government incentive. 

Select & Pay: Choose your IBM certification(s) and pay the ₹2100 fee. 

Certify: Clear your exam and apply for the incentive on your dashboard. 

Earn: Receive your cashback directly in your bank account within 30 days. 

 

Your career deserves a global edge. Let’s get you certified.",https://mail.google.com/mail/u/0/#spam/FMfcgzQfCDTCDlmhmwjCZQQqPHrsGlSL,6,SUSPICIOUS
2026-03-04 17:04:28.375343,"What if upgrading your skills also meant getting rewarded?

Through the Government-backed FutureSkills Prime initiative by Nasscom, you can complete up to 5 IBM Global Certifications in emerging technologies and receive ₹1050 cashback per certification. 

 

THE ESSENTIALS 

Exam Fee: ₹2100 per certification 

Your Refund: ₹1050 (credited to your bank account) 

Limit: Up to 5 certifications allowed 

 

UPGRADE YOUR SKILLS IN HIGH-DEMAND DOMAINS LIKE 

·   Artificial Intelligence Fundamentals 

·   Generative AI Essentials 

·   Python for Data Science 

·   Machine Learning using Python 

·   Data Analysis with Python 

·   SQL & Relational Database 

·   Cybersecurity Fundamentals 

·   Cloud Essentials 

·   Internet of Things 

·   Blockchain Foundation

WHO CAN APPLY? 

·   Indian citizens (16+) 

·   Students | Freshers | Working professionals 

·   Valid bank account required 

 

HOW IT WORKS 

Register: Sign up on FutureSkills Prime and apply for the Government incentive. 

Select & Pay: Choose your IBM certification(s) and pay the ₹2100 fee. 

Certify: Clear your exam and apply for the incentive on your dashboard. 

Earn: Receive your cashback directly in your bank account within 30 days. 

 

Your career deserves a global edge. Let’s get you certified.",https://mail.google.com/mail/u/0/#spam/FMfcgzQfCDTCDlmhmwjCZQQqPHrsGlSL,6,SUSPICIOUS
2026-03-04 17:05:41.753333,"What if upgrading your skills also meant getting rewarded?

Through the Government-backed FutureSkills Prime initiative by Nasscom, you can complete up to 5 IBM Global Certifications in emerging technologies and receive ₹1050 cashback per certification. 

 

THE ESSENTIALS 

Exam Fee: ₹2100 per certification 

Your Refund: ₹1050 (credited to your bank account) 

Limit: Up to 5 certifications allowed 

 

UPGRADE YOUR SKILLS IN HIGH-DEMAND DOMAINS LIKE 

·   Artificial Intelligence Fundamentals 

·   Generative AI Essentials 

·   Python for Data Science 

·   Machine Learning using Python 

·   Data Analysis with Python 

·   SQL & Relational Database 

·   Cybersecurity Fundamentals 

·   Cloud Essentials 

·   Internet of Things 

·   Blockchain Foundation

WHO CAN APPLY? 

·   Indian citizens (16+) 

·   Students | Freshers | Working professionals 

·   Valid bank account required 

 

HOW IT WORKS 

Register: Sign up on FutureSkills Prime and apply for the Government incentive. 

Select & Pay: Choose your IBM certification(s) and pay the ₹2100 fee. 

Certify: Clear your exam and apply for the incentive on your dashboard. 

Earn: Receive your cashback directly in your bank account within 30 days. 

 

Your career deserves a global edge. Let’s get you certified.",https://mail.google.com/mail/u/0/#spam/FMfcgzQfCDTCDlmhmwjCZQQqPHrsGlSL,6,SUSPICIOUS
2026-03-04 17:05:45.020989,"What if upgrading your skills also meant getting rewarded?

Through the Government-backed FutureSkills Prime initiative by Nasscom, you can complete up to 5 IBM Global Certifications in emerging technologies and receive ₹1050 cashback per certification. 

 

THE ESSENTIALS 

Exam Fee: ₹2100 per certification 

Your Refund: ₹1050 (credited to your bank account) 

Limit: Up to 5 certifications allowed 

 

UPGRADE YOUR SKILLS IN HIGH-DEMAND DOMAINS LIKE 

·   Artificial Intelligence Fundamentals 

·   Generative AI Essentials 

·   Python for Data Science 

·   Machine Learning using Python 

·   Data Analysis with Python 

·   SQL & Relational Database 

·   Cybersecurity Fundamentals 

·   Cloud Essentials 

·   Internet of Things 

·   Blockchain Foundation

WHO CAN APPLY? 

·   Indian citizens (16+) 

·   Students | Freshers | Working professionals 

·   Valid bank account required 

 

HOW IT WORKS 

Register: Sign up on FutureSkills Prime and apply for the Government incentive. 

Select & Pay: Choose your IBM certification(s) and pay the ₹2100 fee. 

Certify: Clear your exam and apply for the incentive on your dashboard. 

Earn: Receive your cashback directly in your bank account within 30 days. 

 

Your career deserves a global edge. Let’s get you certified.",https://mail.google.com/mail/u/0/#spam/FMfcgzQfCDTCDlmhmwjCZQQqPHrsGlSL,6,SUSPICIOUS
2026-03-04 17:05:45.327837,"What if upgrading your skills also meant getting rewarded?

Through the Government-backed FutureSkills Prime initiative by Nasscom, you can complete up to 5 IBM Global Certifications in emerging technologies and receive ₹1050 cashback per certification. 

 

THE ESSENTIALS 

Exam Fee: ₹2100 per certification 

Your Refund: ₹1050 (credited to your bank account) 

Limit: Up to 5 certifications allowed 

 

UPGRADE YOUR SKILLS IN HIGH-DEMAND DOMAINS LIKE 

·   Artificial Intelligence Fundamentals 

·   Generative AI Essentials 

·   Python for Data Science 

·   Machine Learning using Python 

·   Data Analysis with Python 

·   SQL & Relational Database 

·   Cybersecurity Fundamentals 

·   Cloud Essentials 

·   Internet of Things 

·   Blockchain Foundation

WHO CAN APPLY? 

·   Indian citizens (16+) 

·   Students | Freshers | Working professionals 

·   Valid bank account required 

 

HOW IT WORKS 

Register: Sign up on FutureSkills Prime and apply for the Government incentive. 

Select & Pay: Choose your IBM certification(s) and pay the ₹2100 fee. 

Certify: Clear your exam and apply for the incentive on your dashboard. 

Earn: Receive your cashback directly in your bank account within 30 days. 

 

Your career deserves a global edge. Let’s get you certified.",https://mail.google.com/mail/u/0/#spam/FMfcgzQfCDTCDlmhmwjCZQQqPHrsGlSL,6,SUSPICIOUS
